filing,owner,role,date,code,acquired_disposed,shares,price,value,shares_after,plan_10b5_1
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-07,A,A,113793.0,23.95,2725342.35,440317.2671,False
2024-12-10_0001062993-24-020419.xml,Mottram Phil,"EVP, GM, Intelligent Edge",2024-12-07,A,A,78780.0,23.95,1886781.0,137559.0,False
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-07,A,A,15444.0,23.95,369883.8,410982.2671,False
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-07,F,D,6078.0,23.95,145568.1,404904.2671,False
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-07,M,A,71743.0,23.95,1718244.8499999999,518661.2671,False
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-07,F,D,28231.0,23.95,676132.45,490430.2671,False
2024-12-10_0001062993-24-020421.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2024-12-07,M,A,63771.0,23.95,1527315.45,63771.0,False
2024-12-10_0001062993-24-020419.xml,Mottram Phil,"EVP, GM, Intelligent Edge",2024-12-07,A,A,46952.0,23.95,1124500.4,82059.0,False
2024-12-10_0001062993-24-020419.xml,Mottram Phil,"EVP, GM, Intelligent Edge",2024-12-07,F,D,23280.0,23.95,557556.0,58779.0,False
2024-12-10_0001062993-24-020417.xml,MacDonald Neil B,"EVP, GM of Compute HPC AI",2024-12-07,F,D,39060.0,23.95,935487.0,145460.719,False
2024-12-10_0001062993-24-020416.xml,Karros Kirt P,"SVP, Treasurer and FP&A",2024-12-07,F,D,11027.0,23.95,264096.64999999997,20859.0,False
2024-12-10_0001062993-24-020415.xml,Gold Gerri,"EVP, Pres & CEO Financial Serv",2024-12-07,F,D,16311.0,23.95,390648.45,72656.0,False
2024-12-10_0001062993-24-020415.xml,Gold Gerri,"EVP, Pres & CEO Financial Serv",2024-12-07,M,A,31886.0,23.95,763669.7,88967.0,False
2024-12-10_0001062993-24-020417.xml,MacDonald Neil B,"EVP, GM of Compute HPC AI",2024-12-07,A,A,46952.0,23.95,1124500.4,129020.719,False
2024-12-10_0001062993-24-020417.xml,MacDonald Neil B,"EVP, GM of Compute HPC AI",2024-12-07,F,D,23280.0,23.95,557556.0,105740.719,False
2024-12-10_0001062993-24-020417.xml,MacDonald Neil B,"EVP, GM of Compute HPC AI",2024-12-07,A,A,78780.0,23.95,1886781.0,184520.719,False
2024-12-10_0001062993-24-020416.xml,Karros Kirt P,"SVP, Treasurer and FP&A",2024-12-07,M,A,31886.0,23.95,763669.7,31886.0,False
2024-12-10_0001062993-24-020418.xml,Major Kristin K,"EVP, Chief People Officer",2024-12-07,F,D,20912.0,23.95,500842.39999999997,32230.0,False
2024-12-10_0001062993-24-020417.xml,MacDonald Neil B,"EVP, GM of Compute HPC AI",2024-12-07,M,A,53142.0,23.95,1272750.9,198602.72,False
2024-12-10_0001062993-24-020417.xml,MacDonald Neil B,"EVP, GM of Compute HPC AI",2024-12-07,F,D,26349.0,23.95,631058.5499999999,172253.719,False
2024-12-10_0001062993-24-020414.xml,Cox Jeremy,"SVP, Controller & CTO",2024-12-07,F,D,25785.0,23.95,617550.75,48615.0,True
2024-12-10_0001062993-24-020418.xml,Major Kristin K,"EVP, Chief People Officer",2024-12-07,M,A,53142.0,23.95,1272750.9,53142.0,False
2024-12-10_0001062993-24-020414.xml,Cox Jeremy,"SVP, Controller & CTO",2024-12-07,M,A,74400.0,23.95,1781880.0,74400.0,True
2024-12-10_0001062993-24-020414.xml,Cox Jeremy,"SVP, Controller & CTO",2024-12-08,F,D,8513.0,23.95,203886.35,61735.0,True
2024-12-10_0001062993-24-020422.xml,SCHULTZ JOHN F,"EVP, COLO",2024-12-08,M,A,66829.0,23.95,1600554.55,471733.2671,False
