factor,beta,se,lo,hi,p_value,mean_factor,mean_contribution,panel,ticker,model
SMB,1.4722146011884616,0.32806576054120856,0.8292175259669512,2.115211676409972,7.204371487007481e-06,-0.0014102362204724413,-0.0020761703549043585,long,ATI,M1_nominal
HML,0.6739462672790236,0.3445351911218007,-0.0013302987263299482,1.3492228332843772,0.05045304018336009,0.0005496062992125979,0.0003704051138273685,long,ATI,M1_nominal
MOM,-0.44621650381232003,0.265438959788971,-0.9664673050924788,0.07403429746783874,0.09275295396622746,0.0011511811023622047,-0.0005136760067508755,long,ATI,M1_nominal
D_NOMINAL,0.045387869941400205,0.04954588540918876,-0.05172028104275832,0.14249602092555874,0.35962625750675614,0.019496061670498586,0.0008848847114701074,long,ATI,M1_nominal
const,0.01046341522655487,0.006950312912843989,-0.003158947763903023,0.024085778217012764,0.13220595868366966,1.0,0.01046341522655487,long,MTRN,FF5_MOM
MKT5,1.1433521069655435,0.23708733534483398,0.6786694684990986,1.6080347454319883,1.4177473112021683e-06,0.010822047244094486,0.012373410518216083,long,MTRN,FF5_MOM
SMB5,1.492433510430805,0.27230522669328516,0.9587250733099512,2.026141947551659,4.235561380805716e-08,-0.0012157480314960638,-0.0018144231024450114,long,MTRN,FF5_MOM
HML5,0.24860430078178253,0.2685757555386008,-0.27779450719450904,0.7750031087580741,0.3546334113541726,0.0005496062992125979,0.00013663448972101104,long,MTRN,FF5_MOM
RMW,-0.3772266972806152,0.6065935138012551,-1.5661281375866754,0.8116747430254451,0.5340225951473445,0.002419685039370079,-0.0009127697958608902,long,MTRN,FF5_MOM
CMA,0.2296814150747817,0.42413123279125203,-0.6016005259146459,1.0609633560642093,0.5881396796428249,6.220472440944792e-05,1.4287269126698812e-05,long,MTRN,FF5_MOM
MOM,0.648568041887339,0.23488457373652935,0.1882027368396988,1.1089333469349791,0.0057585826655057425,0.0011511811023622047,0.0007466192734167634,long,MTRN,FF5_MOM
const,0.012368415556330553,0.008134891970385824,-0.0035756797237497372,0.028312510836410842,0.12840659013559666,1.0,0.012368415556330553,long,ENTG,FF5_MOM
MKT5,1.1602825989077656,0.17361180606641533,0.8200097117266392,1.500555486088892,2.3377854566211546e-11,0.010822047244094486,0.012556633101880573,long,ENTG,FF5_MOM
SMB5,0.5183589452341371,0.4667025630124804,-0.3963612697628597,1.433079160231134,0.26670450625401054,-0.0012157480314960638,-0.0006301938672767781,long,ENTG,FF5_MOM
HML5,0.13024458606000586,0.22427406833195468,-0.30932451053690035,0.5698136826569121,0.5614167096232818,0.0005496062992125979,7.158324493691653e-05,long,ENTG,FF5_MOM
RMW,-0.8519035098838558,0.49783414358998745,-1.8276405015945731,0.12383348182686149,0.08704059445994759,0.002419685039370079,-0.002061338177852826,long,ENTG,FF5_MOM
CMA,-0.6593161282297999,0.47611088516318956,-1.5924763157971369,0.2738440593375372,0.16611506067610282,6.220472440944792e-05,-4.101257805523893e-05,long,ENTG,FF5_MOM
MOM,0.1325307989588387,0.3618634731328552,-0.5767085757021351,0.8417701736198124,0.7141820368151628,0.0011511811023622047,0.00015256695124237968,long,ENTG,FF5_MOM
const,0.02068503401654357,0.009934804191257387,0.0012131756082215117,0.04015689242486563,0.03733537532767922,1.0,0.02068503401654357,long,CRS,FF5_MOM
MKT5,1.3958836908316956,0.19543664464784438,1.0128349060625679,1.7789324756008233,9.172548362096583e-13,0.010822047244094486,0.01510631924944159,long,CRS,FF5_MOM
SMB5,1.2608068668151504,0.3894023252618261,0.4975923338058196,2.0240213998244814,0.0012045520094428283,-0.0012157480314960638,-0.001532823466427239,long,CRS,FF5_MOM
HML5,0.6186863902407416,0.4280125247942712,-0.22020274328808687,1.45757552376957,0.1483212404260348,0.0005496062992125979,0.0003400339373134151,long,CRS,FF5_MOM
RMW,-0.8191478961824349,0.5010115508638971,-1.8011124917142307,0.16281669934936094,0.10205155374474609,0.002419685039370079,-0.0019820799094241123,long,CRS,FF5_MOM
CMA,0.2585127126269424,0.6333626032358598,-0.9828551788698747,1.4998806041237596,0.6831568703439566,6.220472440944792e-05,1.608071204529776e-05,long,CRS,FF5_MOM
MOM,-0.19775829027265265,0.2754048916636031,-0.7375419590994702,0.3420253785541648,0.4727179331908511,0.0011511811023622047,-0.00022765560659733714,long,CRS,FF5_MOM
const,0.0237621828105772,0.010157047372969123,0.003854735770290548,0.04366962985086385,0.019310739723039105,1.0,0.0237621828105772,long,ATI,FF5_MOM
MKT5,1.1792791964668272,0.25048202559269805,0.6883434475304989,1.6702149454031554,2.5011100560619034e-06,0.010822047244094486,0.012762215178141786,long,ATI,FF5_MOM
SMB5,1.29880057275487,0.4295683875992058,0.4568620041634842,2.1407391413462555,0.0024986796604474157,-0.0012157480314960638,-0.0015790142396326934,long,ATI,FF5_MOM
HML5,0.0005895873907005265,0.5668863903871081,-1.1104873210939445,1.1116664958753455,0.9991701642525693,0.0005496062992125979,3.240409438653284e-07,long,ATI,FF5_MOM
RMW,-0.8125216881100474,0.47308826612333527,-1.7397576512202853,0.11471427500019027,0.08589071346838065,0.002419685039370079,-0.001966046572883603,long,ATI,FF5_MOM
CMA,1.3189970174110486,0.7772648784255439,-0.20441415075092118,2.842408185573018,0.08970188568137684,6.220472440944792e-05,8.204784596493806e-05,long,ATI,FF5_MOM
MOM,-0.6342128258664349,0.2408350701860685,-1.1062408896453053,-0.1621847620875645,0.008453704843639121,0.0011511811023622047,-0.0007300938200131715,long,ATI,FF5_MOM
const,0.012762238940781743,0.01175886912346241,-0.010284721040124657,0.03580919892168814,0.277776068738244,1.0,0.012762238940781743,recent,MTRN,M0
MKT,1.0570568417406419,0.27707658932672036,0.5139967057010748,1.600116977780209,0.0001361637210155462,0.00893283582089552,0.009442515220623492,recent,MTRN,M0
const,-0.0033337919406032164,0.011873929490704514,-0.026606266097352088,0.019938682216145656,0.7788901251648269,1.0,-0.0033337919406032164,recent,ENTG,M0
MKT,1.3747013934683807,0.17655513131711048,1.0286596948011044,1.720743092135657,6.9030388307918685e-15,0.00893283582089552,0.012279981850609339,recent,ENTG,M0
const,0.0410010705288768,0.014372263629790757,0.012831951438172003,0.06917018961958159,0.004333705472388805,1.0,0.0410010705288768,recent,CRS,M0
MKT,1.2219336121660198,0.3032451618345387,0.6275840164843038,1.8162832078477358,5.5889945297559684e-05,0.00893283582089552,0.010915332341512875,recent,CRS,M0
