path,sha256,bytes
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-22-012142_release.html,b0508074f5b5df6499d88449c74207d13a171e2e842cfdb7a0ae3c0ae64f019f,402683
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-22-020867.html,d1f69430b86983e6169e408c0774b2b1e851d3cf33acb48dab6a45a0a7e75ba9,43959
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-22-020867_release.html,155318dc2f08a68d88c777205d561abb5ff10bf5fc4e7311bbd8f0fecdfcd357,523751
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-22-027662.html,a2e468a2df8fec124eee0b3ccee16d38338165ae814ad7249daa4c0b93ba1c44,44161
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-22-027662_release.html,7eb3168f54af709db641d2d6fb17844bfa1f6d14cf734152986eb5c561fffe4e,534282
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-23-001965.html,eaa6b31f1bdddcc27dca367fa3cb71d9e74810009c8b1140b7d4086c8a459d1d,44686
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-23-001965_release.html,f9cf3f2918f1bc5ebef7f20f432b575f3bd1d7052377a3134131851378788299,597561
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-23-015453.html,b695eb580c1f16d5df1e3e7b5a598a8ffe8672855adace39cad9c27af8764556,45590
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-23-015453_release.html,0edcc1f92feb4fbe46552d2568a80ab47e30ec63954e43e0d0f22fb50bdb540d,408782
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-23-026573.html,5adb695d7f12e7578af1085634c273083c5e78350a2539f039f5ac6492bad7e4,36386
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-23-026573_release.html,a89c29c918f722f2c9bb594b0349c0f38110d37a8a8797b2a530536d12e3ba2e,525273
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-23-036216.html,d26531c56198c6e42125d9fee7e3eea2f1fd29aadf3d3d01b2d4f84e3c7caf26,36393
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-23-036216_release.html,d956c98ccc54e9f61bcabb2692609e61cec3c7b0116ae918a828f54b4bbe7074,532043
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-24-002807.html,a77fae1c8e7c7788acf45cc80f088ff33876c8222e831eb55aa77ee2e12d479b,35299
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-24-002807_release.html,9010fd2272ad6471a47847b21c2c3e9bd0c6e33a1a645168c1a4296b01f47101,625324
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-24-019185.html,d5d226a418ed253023c1723fa27f7d826880df8bbdd81b09880540167f38d2de,35885
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-24-019185_release.html,3158271fbb13cf27c30843d26e4f8a51e77b81e4e84527df5269b2ea7983f368,419392
