task,ticker,expanded,reduced,excluded,full_mean,mean_loss_reduction,pvalue,sign_flip
return,MTRN,core_ols,historical_mean,2025-08,-0.0015093428896143,-0.0013570144697233,0.515,False
return,MTRN,core_ols,historical_mean,2025-09,-0.0015093428896143,-0.0015269682247372,0.45,False
return,MTRN,core_ols,historical_mean,2025-10,-0.0015093428896143,-0.0015841868393881,0.429,False
return,MTRN,core_ols,historical_mean,2025-11,-0.0015093428896143,-0.0015646151926418,0.435,False
return,MTRN,core_ols,historical_mean,2025-12,-0.0015093428896143,-0.0015027823044107,0.463,False
return,MTRN,core_ols,historical_mean,2026-01,-0.0015093428896143,-0.001276117748811,0.564,False
return,MTRN,core_ols,historical_mean,2026-02,-0.0015093428896143,-0.0016929769790977,0.397,False
return,MTRN,core_ols,historical_mean,2026-03,-0.0015093428896143,-0.0015809657173461,0.432,False
return,MTRN,core_ols,historical_mean,2026-04,-0.0015093428896143,-0.0013518692946433,0.508,False
return,MTRN,core_ols,historical_mean,2026-05,-0.0015093428896143,-0.0016767959330599,0.42,False
return,MTRN,core_ols,historical_mean,2026-06,-0.0015093428896143,-0.0021268367556476,0.364,False
return,MTRN,core_ols,historical_mean,2026-07,-0.0015093428896143,1.8493976828758625e-05,0.991,True
return,MTRN,core_ols,historical_mean,2026-08,-0.0015093428896143,-0.0010183289281945,0.553,False
return,ENTG,core_ols,historical_mean,2023-01,-0.001672346133376,-0.0022845712645657,0.187,False
return,ENTG,core_ols,historical_mean,2023-02,-0.001672346133376,-0.0017101974577882,0.343,False
return,ENTG,core_ols,historical_mean,2023-03,-0.001672346133376,-0.0016029034354198,0.388,False
return,ENTG,core_ols,historical_mean,2023-04,-0.001672346133376,-0.0016381315151783,0.372,False
return,ENTG,core_ols,historical_mean,2023-05,-0.001672346133376,-0.0026426385080131,0.101,False
return,ENTG,core_ols,historical_mean,2023-06,-0.001672346133376,-0.0016753277180622,0.333,False
return,ENTG,core_ols,historical_mean,2023-07,-0.001672346133376,-0.0015172368744638,0.391,False
return,ENTG,core_ols,historical_mean,2023-08,-0.001672346133376,-0.0014641327996841,0.405,False
return,ENTG,core_ols,historical_mean,2023-09,-0.001672346133376,-0.001462815835701,0.406,False
return,ENTG,core_ols,historical_mean,2023-10,-0.001672346133376,-0.0015713908404913,0.382,False
return,ENTG,core_ols,historical_mean,2023-11,-0.001672346133376,-0.0018644057647414,0.337,False
return,ENTG,core_ols,historical_mean,2023-12,-0.001672346133376,-0.0007367780291431,0.595,False
return,ENTG,core_ols,historical_mean,2024-01,-0.001672346133376,-0.0017303997561929,0.348,False
return,ENTG,core_ols,historical_mean,2024-02,-0.001672346133376,-0.0016316323676982,0.369,False
return,ENTG,core_ols,historical_mean,2024-03,-0.001672346133376,-0.0016784608099911,0.36,False
return,ENTG,core_ols,historical_mean,2024-04,-0.001672346133376,-0.00164287285816,0.368,False
return,ENTG,core_ols,historical_mean,2024-05,-0.001672346133376,-0.0016954007651595,0.352,False
return,ENTG,core_ols,historical_mean,2024-06,-0.001672346133376,-0.0014780333813575,0.429,False
return,ENTG,core_ols,historical_mean,2024-07,-0.001672346133376,-0.001865001626487,0.299,False
return,ENTG,core_ols,historical_mean,2024-08,-0.001672346133376,-0.0015909930619589,0.387,False
return,ENTG,core_ols,historical_mean,2024-09,-0.001672346133376,-0.0016736689101769,0.352,False
return,ENTG,core_ols,historical_mean,2024-10,-0.001672346133376,-0.0018139384648022,0.307,False
return,ENTG,core_ols,historical_mean,2024-11,-0.001672346133376,-0.0016975984784227,0.341,False
return,ENTG,core_ols,historical_mean,2024-12,-0.001672346133376,-0.0016823371851502,0.347,False
return,ENTG,core_ols,historical_mean,2025-01,-0.001672346133376,-0.0016640721451736,0.356,False
return,ENTG,core_ols,historical_mean,2025-02,-0.001672346133376,-0.0017050071406264,0.34,False
return,ENTG,core_ols,historical_mean,2025-03,-0.001672346133376,-0.0018422517191842,0.303,False
return,ENTG,core_ols,historical_mean,2025-04,-0.001672346133376,-0.0016503346870419,0.363,False
return,ENTG,core_ols,historical_mean,2025-05,-0.001672346133376,-0.0016517230422977,0.362,False
return,ENTG,core_ols,historical_mean,2025-06,-0.001672346133376,-0.0014588042223748,0.436,False
return,ENTG,core_ols,historical_mean,2025-07,-0.001672346133376,-0.0017587399157572,0.314,False
return,ENTG,core_ols,historical_mean,2025-08,-0.001672346133376,-0.0017335129453908,0.328,False
return,ENTG,core_ols,historical_mean,2025-09,-0.001672346133376,-0.0016759749453379,0.353,False
return,ENTG,core_ols,historical_mean,2025-10,-0.001672346133376,-0.0017224039996367,0.329,False
return,ENTG,core_ols,historical_mean,2025-11,-0.001672346133376,-0.0021811473387453,0.217,False
return,ENTG,core_ols,historical_mean,2025-12,-0.001672346133376,-0.0017135088443555,0.33,False
return,ENTG,core_ols,historical_mean,2026-01,-0.001672346133376,-0.0016708334812197,0.348,False
return,ENTG,core_ols,historical_mean,2026-02,-0.001672346133376,-0.0012809031862688,0.461,False
return,ENTG,core_ols,historical_mean,2026-03,-0.001672346133376,-0.0016432445278875,0.369,False
return,ENTG,core_ols,historical_mean,2026-04,-0.001672346133376,-0.0016910462230856,0.363,False
return,ENTG,core_ols,historical_mean,2026-05,-0.001672346133376,-0.0017403489901861,0.345,False
return,ENTG,core_ols,historical_mean,2026-06,-0.001672346133376,-0.000420479564599,0.78,False
return,ENTG,core_ols,historical_mean,2026-07,-0.001672346133376,-0.0021692166059192,0.223,False
return,ENTG,core_ols,historical_mean,2026-08,-0.001672346133376,-0.0018588086346484,0.291,False
return,CRS,core_ols,historical_mean,2023-01,-0.0014852718527921,-0.0019901594774038,0.308,False
return,CRS,core_ols,historical_mean,2023-02,-0.0014852718527921,-0.0015265775869633,0.385,False
return,CRS,core_ols,historical_mean,2023-03,-0.0014852718527921,-0.0014887189141755,0.393,False
return,CRS,core_ols,historical_mean,2023-04,-0.0014852718527921,-0.0013932171275665,0.42,False
return,CRS,core_ols,historical_mean,2023-05,-0.0014852718527921,-0.001708253855201,0.332,False
return,CRS,core_ols,historical_mean,2023-06,-0.0014852718527921,-0.0013817388346134,0.424,False
return,CRS,core_ols,historical_mean,2023-07,-0.0014852718527921,-0.0013048778102095,0.456,False
return,CRS,core_ols,historical_mean,2023-08,-0.0014852718527921,-0.0015018174795765,0.393,False
return,CRS,core_ols,historical_mean,2023-09,-0.0014852718527921,-0.0015559214853921,0.376,False
return,CRS,core_ols,historical_mean,2023-10,-0.0014852718527921,-0.0011152424238412,0.542,False
return,CRS,core_ols,historical_mean,2023-11,-0.0014852718527921,-0.0015067443689595,0.389,False
return,CRS,core_ols,historical_mean,2023-12,-0.0014852718527921,-0.0015296708606246,0.382,False
return,CRS,core_ols,historical_mean,2024-01,-0.0014852718527921,-0.00153244920508,0.38,False
return,CRS,core_ols,historical_mean,2024-02,-0.0014852718527921,-0.0015406380711783,0.377,False
return,CRS,core_ols,historical_mean,2024-03,-0.0014852718527921,-0.0015060499454633,0.39,False
return,CRS,core_ols,historical_mean,2024-04,-0.0014852718527921,-0.0016185170374258,0.352,False
return,CRS,core_ols,historical_mean,2024-05,-0.0014852718527921,-0.0018260774412733,0.269,False
return,CRS,core_ols,historical_mean,2024-06,-0.0014852718527921,-0.001515437570177,0.393,False
return,CRS,core_ols,historical_mean,2024-07,-0.0014852718527921,-0.0018934468486436,0.241,False
return,CRS,core_ols,historical_mean,2024-08,-0.0014852718527921,-0.0012417357447296,0.524,False
return,CRS,core_ols,historical_mean,2024-09,-0.0014852718527921,-0.0016370831776516,0.331,False
return,CRS,core_ols,historical_mean,2024-10,-0.0014852718527921,-0.0013923181941389,0.458,False
return,CRS,core_ols,historical_mean,2024-11,-0.0014852718527921,-0.002250868013733,0.132,False
return,CRS,core_ols,historical_mean,2024-12,-0.0014852718527921,-0.0013652688369218,0.469,False
return,CRS,core_ols,historical_mean,2025-01,-0.0014852718527921,-0.0017575959863544,0.32,False
return,CRS,core_ols,historical_mean,2025-02,-0.0014852718527921,-0.0015469130839378,0.385,False
return,CRS,core_ols,historical_mean,2025-03,-0.0014852718527921,-0.001124151124169,0.553,False
return,CRS,core_ols,historical_mean,2025-04,-0.0014852718527921,-0.0015601332493006,0.396,False
return,CRS,core_ols,historical_mean,2025-05,-0.0014852718527921,-0.0020098067307226,0.273,False
return,CRS,core_ols,historical_mean,2025-06,-0.0014852718527921,-0.0015842646652032,0.367,False
return,CRS,core_ols,historical_mean,2025-07,-0.0014852718527921,-0.0011572960522344,0.524,False
return,CRS,core_ols,historical_mean,2025-08,-0.0014852718527921,-0.0010947428930098,0.558,False
