ticker,date,model,parameter,validation_mse
CRS,2025-12-31,variance_ridge_external,0.1,0.20927045801509322
CRS,2025-12-31,variance_ridge_external,1.0,0.21072314379634383
CRS,2025-12-31,variance_ridge_external,10.0,0.22064623487154297
CRS,2025-12-31,variance_ridge_external,100.0,0.23167433226657277
ATI,2022-12-31,variance_ridge,0.01,2.1491503614813756
ATI,2022-12-31,variance_ridge,0.1,0.9343527306131619
ATI,2022-12-31,variance_ridge,1.0,0.5145638770321476
ATI,2022-12-31,variance_ridge,10.0,0.3310452480537825
ATI,2022-12-31,variance_ridge,100.0,0.21874352573650216
ATI,2022-12-31,variance_forest,0.0,0.1451030479809148
ATI,2022-12-31,variance_forest,1.0,0.12860069681738354
ATI,2022-12-31,variance_boost,0.0,0.1417089298917167
ATI,2022-12-31,variance_boost,1.0,0.1858493503849846
ATI,2022-12-31,variance_ridge_persistence,0.01,0.15178892488213092
ATI,2022-12-31,variance_ridge_persistence,0.1,0.15176906798856984
ATI,2022-12-31,variance_ridge_persistence,1.0,0.15159815487825423
ATI,2022-12-31,variance_ridge_persistence,10.0,0.15100617972382
ATI,2022-12-31,variance_ridge_persistence,100.0,0.15464440834124804
ATI,2022-12-31,variance_ridge_market,0.01,0.17065790615282703
ATI,2022-12-31,variance_ridge_market,0.1,0.17040776012555867
ATI,2022-12-31,variance_ridge_market,1.0,0.16823661088588052
ATI,2022-12-31,variance_ridge_market,10.0,0.15910934400266263
ATI,2022-12-31,variance_ridge_market,100.0,0.1538516076359648
ATI,2022-12-31,variance_ridge_external,0.01,0.20697728179564268
ATI,2022-12-31,variance_ridge_external,0.1,0.20511470262299705
ATI,2022-12-31,variance_ridge_external,1.0,0.19086440577767014
ATI,2022-12-31,variance_ridge_external,10.0,0.158509258853865
ATI,2022-12-31,variance_ridge_external,100.0,0.1602798069430205
ATI,2023-12-31,variance_ridge,0.01,0.9243149537852734
ATI,2023-12-31,variance_ridge,0.1,0.5662261287069449
ATI,2023-12-31,variance_ridge,1.0,0.24090118460408974
ATI,2023-12-31,variance_ridge,10.0,0.1915427089661749
ATI,2023-12-31,variance_ridge,100.0,0.17600566260688952
ATI,2023-12-31,variance_forest,0.0,0.19254816649638098
ATI,2023-12-31,variance_forest,1.0,0.1928609452197081
ATI,2023-12-31,variance_boost,0.0,0.15370324315848766
ATI,2023-12-31,variance_boost,1.0,0.15026781288469968
ATI,2023-12-31,variance_ridge_persistence,0.01,0.19033584236542941
ATI,2023-12-31,variance_ridge_persistence,0.1,0.19034813811074247
ATI,2023-12-31,variance_ridge_persistence,1.0,0.19048051223204085
ATI,2023-12-31,variance_ridge_persistence,10.0,0.19231243430247594
ATI,2023-12-31,variance_ridge_persistence,100.0,0.2159671672013125
ATI,2023-12-31,variance_ridge_market,0.01,0.1725110681238348
ATI,2023-12-31,variance_ridge_market,0.1,0.17254481214247355
ATI,2023-12-31,variance_ridge_market,1.0,0.17293499195170173
ATI,2023-12-31,variance_ridge_market,10.0,0.17784640206787583
ATI,2023-12-31,variance_ridge_market,100.0,0.20662967939051669
ATI,2023-12-31,variance_ridge_external,0.01,0.22841512551159945
ATI,2023-12-31,variance_ridge_external,0.1,0.22673335908568495
ATI,2023-12-31,variance_ridge_external,1.0,0.21355014196942143
ATI,2023-12-31,variance_ridge_external,10.0,0.18504091150917365
ATI,2023-12-31,variance_ridge_external,100.0,0.21368390282905195
ATI,2024-12-31,variance_ridge,0.01,0.5361917209003235
ATI,2024-12-31,variance_ridge,0.1,0.520995658409305
ATI,2024-12-31,variance_ridge,1.0,0.2807189867005105
ATI,2024-12-31,variance_ridge,10.0,0.1764349361861186
ATI,2024-12-31,variance_ridge,100.0,0.16527499008161836
ATI,2024-12-31,variance_forest,0.0,0.18848170172258535
ATI,2024-12-31,variance_forest,1.0,0.20250328759478017
ATI,2024-12-31,variance_boost,0.0,0.1857743188020972
ATI,2024-12-31,variance_boost,1.0,0.1875538389171295
ATI,2024-12-31,variance_ridge_persistence,0.01,0.24373371057475432
ATI,2024-12-31,variance_ridge_persistence,0.1,0.2437737276520778
ATI,2024-12-31,variance_ridge_persistence,1.0,0.24417532044967527
ATI,2024-12-31,variance_ridge_persistence,10.0,0.24828861519005518
ATI,2024-12-31,variance_ridge_persistence,100.0,0.2868124655730421
ATI,2024-12-31,variance_ridge_market,0.01,0.2125992531486992
ATI,2024-12-31,variance_ridge_market,0.1,0.21266523189040173
ATI,2024-12-31,variance_ridge_market,1.0,0.21331364298310787
ATI,2024-12-31,variance_ridge_market,10.0,0.2189637037220681
ATI,2024-12-31,variance_ridge_market,100.0,0.25666240805396506
ATI,2024-12-31,variance_ridge_external,0.01,0.20257913178268824
ATI,2024-12-31,variance_ridge_external,0.1,0.20253897190422465
ATI,2024-12-31,variance_ridge_external,1.0,0.20238362135058185
ATI,2024-12-31,variance_ridge_external,10.0,0.20882718148181134
ATI,2024-12-31,variance_ridge_external,100.0,0.25803448176178984
ATI,2025-12-31,variance_ridge,0.01,1.1067106613191369
ATI,2025-12-31,variance_ridge,0.1,0.5279889974944235
ATI,2025-12-31,variance_ridge,1.0,0.32028883041398437
ATI,2025-12-31,variance_ridge,10.0,0.3007306306080029
ATI,2025-12-31,variance_ridge,100.0,0.2928566454276787
ATI,2025-12-31,variance_forest,0.0,0.33557431630454443
ATI,2025-12-31,variance_forest,1.0,0.3477992335034414
ATI,2025-12-31,variance_boost,0.0,0.3110860891569777
ATI,2025-12-31,variance_boost,1.0,0.37662376486205673
ATI,2025-12-31,variance_ridge_persistence,0.01,0.3313012110419159
ATI,2025-12-31,variance_ridge_persistence,0.1,0.331297800857825
ATI,2025-12-31,variance_ridge_persistence,1.0,0.33126313834065163
ATI,2025-12-31,variance_ridge_persistence,10.0,0.3309268462128107
ATI,2025-12-31,variance_ridge_persistence,100.0,0.3335033329189218
ATI,2025-12-31,variance_ridge_market,0.01,0.2896760348161278
ATI,2025-12-31,variance_ridge_market,0.1,0.2896981605318996
ATI,2025-12-31,variance_ridge_market,1.0,0.2899275942935946
ATI,2025-12-31,variance_ridge_market,10.0,0.29232732383056925
ATI,2025-12-31,variance_ridge_market,100.0,0.3043865195554511
ATI,2025-12-31,variance_ridge_external,0.01,0.28899967925480224
ATI,2025-12-31,variance_ridge_external,0.1,0.28888331502686837
ATI,2025-12-31,variance_ridge_external,1.0,0.28792025780852953
ATI,2025-12-31,variance_ridge_external,10.0,0.286793542749229
ATI,2025-12-31,variance_ridge_external,100.0,0.30343480217060453
