ticker,variable,group,observations,available,status,selected_by_a_recorded_primary_model
MTRN,roa,financial,129,129,implemented,True
MTRN,roe,financial,129,129,implemented,True
MTRN,cfo_assets,financial,129,129,implemented,True
MTRN,fcf_equipment_assets,financial,129,129,implemented,True
MTRN,capex_assets,financial,129,76,implemented,False
MTRN,cash_assets,financial,129,129,implemented,True
MTRN,debt_assets,financial,129,84,implemented,False
MTRN,debt_equity,financial,129,84,implemented,False
MTRN,interest_coverage,financial,129,19,implemented,False
MTRN,current_ratio,financial,129,129,implemented,True
MTRN,quick_ratio,financial,129,129,implemented,True
MTRN,payout,financial,129,129,implemented,True
MTRN,earnings_age_days,financial,129,129,implemented,True
MTRN,earnings_yield,valuation,129,129,implemented,True
MTRN,book_yield,valuation,129,129,implemented,True
MTRN,sales_yield,valuation,129,129,implemented,True
MTRN,fcf_equipment_yield,valuation,129,129,implemented,True
MTRN,dividend_yield,valuation,129,129,implemented,True
MTRN,earnings_yield_relative,valuation,129,117,implemented,True
MTRN,earnings_yield_percentile,valuation,129,117,implemented,True
MTRN,fcf_equipment_yield_relative,valuation,129,117,implemented,True
MTRN,pe_percentile,valuation,129,117,implemented,True
MTRN,peer_earnings_yield_gap,valuation,129,129,implemented,True
MTRN,momentum_1,momentum,129,129,implemented,True
MTRN,momentum_3,momentum,129,129,implemented,True
MTRN,momentum_6,momentum,129,129,implemented,True
MTRN,momentum_12,momentum,129,129,implemented,True
MTRN,relative_momentum,momentum,129,129,implemented,True
MTRN,industry_momentum_relative,momentum,129,129,implemented,True
MTRN,vol_21,risk,129,129,implemented,True
MTRN,vol_63,risk,129,129,implemented,True
MTRN,vol_252,risk,129,129,implemented,True
MTRN,beta_252,risk,129,129,implemented,True
MTRN,idio_vol,risk,129,129,implemented,True
MTRN,downside_deviation,risk,129,129,implemented,True
MTRN,drawdown_252,risk,129,129,implemented,True
MTRN,log_dollar_volume,risk,129,129,implemented,True
MTRN,turnover,risk,129,129,implemented,True
MTRN,amihud,risk,129,129,implemented,True
MTRN,industry_vol,industry,129,129,implemented,True
MTRN,sector_return,industry,129,129,implemented,True
MTRN,semis_return,industry,129,129,implemented,True
MTRN,defense_return,industry,129,129,implemented,True
MTRN,driver_vol,business,129,129,implemented,True
MTRN,copper_return,business,129,129,implemented,True
MTRN,gold_return,business,129,129,implemented,True
MTRN,silver_return,business,129,129,implemented,True
MTRN,gas_return,business,129,129,implemented,True
MTRN,oil_return,business,129,129,implemented,True
MTRN,revenue_growth_diff,transform,129,129,implemented,True
MTRN,operating_margin_diff,transform,129,129,implemented,True
MTRN,roe_diff,transform,129,129,implemented,True
MTRN,earnings_yield_diff,transform,129,129,implemented,True
MTRN,revenue_growth_lag1,transform,129,129,implemented,True
MTRN,earnings_yield_lag1,transform,129,129,implemented,True
MTRN,pe_pct_change,transform,129,129,implemented,True
MTRN,earnings_yield_z,transform,129,129,implemented,True
MTRN,revenue_valuation_interaction,interaction,129,129,implemented,False
MTRN,margin_valuation_interaction,interaction,129,129,implemented,False
MTRN,roic_proxy,claims_proxy,129,84,implemented,False
MTRN,ev_ebitda_proxy,claims_proxy,129,84,implemented,False
MTRN,ev_sales_proxy,claims_proxy,129,84,implemented,False
MTRN,fcf_yield,mine_inclusive_fcf,129,76,implemented,False
MTRN,fcf_assets,mine_inclusive_fcf,129,76,implemented,False
MTRN,pe,valuation,129,129,reported; reciprocal/related representation tested instead where redundant,False
MTRN,pb,valuation,129,129,reported; reciprocal/related representation tested instead where redundant,False
MTRN,ps,valuation,129,129,reported; reciprocal/related representation tested instead where redundant,False
MTRN,pe_relative,valuation,129,117,reported; reciprocal/related representation tested instead where redundant,False
MTRN,forward_pe,deferred,129,0,deferred,False
MTRN,earnings_surprise,deferred,129,0,deferred,False
MTRN,analyst_revisions,deferred,129,0,deferred,False
MTRN,bid_ask_spread,deferred,129,0,deferred,False
MTRN,roic,deferred,129,0,deferred,False
MTRN,ev_ebitda,deferred,129,0,deferred,False
MTRN,ev_sales,deferred,129,0,deferred,False
MTRN,index_membership_return,deferred,129,0,deferred,False
MTRN,tungsten_molybdenum_prices,deferred,129,0,deferred,False
