task,horizon,ticker,model,excluded_fallbacks,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
return,1,ATI,historical_mean,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,lasso_full,0,44,0.13941476467108768,0.10827666032575632,-0.021066490112093827,-0.02347471009224046,-0.04179519921649941,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,market_mean,0,44,0.1427406360565092,0.10801758437532566,-0.0703646037585921,-0.03905488756160977,-0.18814839004354206,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,panel_company_effects,0,44,0.1381161985747323,0.1065902938487385,-0.0021338148237146637,-0.029986019490244074,0.11253224559409289,0,2023-01-31,2026-08-31,0.6818181818181818,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,pooled_boost,0,44,0.13894142037143492,0.1057037620860422,-0.014144762404855848,-0.028789844217114405,-0.08265360969205798,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,pooled_forest,0,44,0.13767325236981673,0.10429522993663348,0.004283673967793944,-0.027487823916940136,0.09270551425957735,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,pooled_ridge,0,44,0.1373317627499045,0.10656325444672267,0.009217167970653639,-0.031187914911725324,0.15715426242469827,0,2023-01-31,2026-08-31,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,ridge_full,0,44,0.13696795675705403,0.1049856312262467,0.014459586570402694,-0.02302328439787826,0.07769537106836527,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,ridge_rolling84,0,44,0.13837457870089176,0.10529534565649676,-0.005886794727417266,-0.027807484471714924,-0.011470691545331927,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_business,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_financial,0,44,0.1373032731807937,0.10588138661854773,0.009628202498266458,-0.024763809569655213,0.07482090951991802,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_industry,0,44,0.1370650274900376,0.10519177090160871,0.013062164388330744,-0.0230082971166512,0.07111559910407445,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_market,0,44,0.13713738776208662,0.1053014717880599,0.012019827877685185,-0.02276499840395816,0.06220767463384454,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
