task,horizon,ticker,model,window,date,hyperparameter,candidates,retained,missing_indicators,excluded_low_coverage,excluded_constant,retained_set,intercept_only,train_rows,rank,condition_number,effective_df,nonzero_coefficients,tree_leaves,stage
return,1,ATI,arx,expanding,2024-07-31,0,7,7,0,0,0,c5d188be54d6,False,103,7,7.509386018226748,7.0,7,,specifications_return_ATI
return,1,ATI,ridge_full,expanding,2024-07-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,lasso_full,expanding,2024-07-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,elastic_full,expanding,2024-07-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,forest_full,expanding,2024-07-31,0,80,72,4,8,0,bdc805fc9aa2,False,103,74,50723.16085100306,,0,398.0,specifications_return_ATI
return,1,ATI,boost_full,expanding,2024-07-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag1,expanding,2024-07-31,intercept_only,10,10,0,0,0,3f159deb122a,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag3,expanding,2024-07-31,intercept_only,16,16,0,0,0,5c126f2089c6,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ar1,expanding,2024-07-31,0,1,1,0,0,0,3d8797b64536,False,103,1,1.0,1.0,1,,specifications_return_ATI
return,1,ATI,core_ridge_financial_ext,expanding,2024-07-31,100.0,8,8,0,0,0,f02eb952d10a,False,103,8,7.822056687624182,0.0788008410472322,8,,specifications_return_ATI
return,1,ATI,core_ols_financial_ext,expanding,2024-07-31,0,8,8,0,0,0,f02eb952d10a,False,103,8,7.822056687624182,8.0,8,,specifications_return_ATI
return,1,ATI,A1_market,expanding,2024-07-31,intercept_only,14,12,0,2,0,406d5eb3e717,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A2_financial,expanding,2024-07-31,intercept_only,36,30,0,6,0,dab488a17518,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A3_valuation,expanding,2024-07-31,intercept_only,46,39,0,7,0,c62100a84891,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A4_momentum,expanding,2024-07-31,intercept_only,52,45,0,7,0,635181c7c412,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A5_risk,expanding,2024-07-31,intercept_only,62,55,0,7,0,de65e4a36b13,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A6_industry,expanding,2024-07-31,intercept_only,66,59,0,7,0,e8463b1104fb,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A7_business,expanding,2024-07-31,intercept_only,72,65,0,7,0,3d5db8327499,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A8_transform,expanding,2024-07-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,103,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A9_interaction,expanding,2024-07-31,intercept_only,82,74,0,8,0,2151e36ae0fd,True,103,0,,0.0,0,,specifications_return_ATI
