task,horizon,ticker,model,regime,value,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
market_relative_return,1,ENTG,historical_mean,rate_rising_regime,0,16,0.16315229187254585,0.12215415500041937,0.0,-0.008798485814805806,-0.06390495429048187,0,2023-02-28,2026-01-31,0.375,0.375,0.375,0.0,,,,
market_relative_return,1,ENTG,historical_mean,rate_rising_regime,1,28,0.11770933282205738,0.09000919700224716,0.0,0.012042225644555914,-0.2835964239483547,0,2023-01-31,2026-08-31,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,,,,
market_relative_return,1,ENTG,historical_mean,calendar_year,2023,12,0.13847456562678767,0.10409435417165014,0.0,-0.02462784456773297,-0.6662068951728458,0,2023-01-31,2023-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,historical_mean,calendar_year,2024,12,0.0743079607627821,0.06335499526395744,0.0,0.047925355210936584,0.22842780589074602,0,2024-01-31,2024-12-31,0.25,0.25,0.25,0.0,,,,
market_relative_return,1,ENTG,historical_mean,calendar_year,2025,12,0.0992275087431341,0.08095163219257041,0.0,0.031877213133243314,-0.4039583458280333,0,2025-01-31,2025-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,historical_mean,calendar_year,2026,8,0.22342130612152497,0.18673902706643683,0.0,-0.05821126753833628,-0.8674829322779213,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
market_relative_return,1,ENTG,ridge_full,high_vol_regime,0,32,0.13700435792691648,0.102568394119974,-0.07102116212460663,-0.01332350685260179,-0.07878969659329342,0,2023-03-31,2026-08-31,0.4375,0.40625,0.40625,0.0,,,,
market_relative_return,1,ENTG,ridge_full,high_vol_regime,1,12,0.14495042004391043,0.11491888755831337,0.003590364081796582,0.02986547841580224,-0.010389274661554692,0,2023-01-31,2026-07-31,0.5,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,ridge_full,rate_rising_regime,0,16,0.16472206992110705,0.12168101632099036,-0.01933567564391625,-0.021254143285424177,0.05507320465676079,0,2023-02-28,2026-01-31,0.5,0.375,0.375,0.0,,,,
market_relative_return,1,ENTG,ridge_full,rate_rising_regime,1,28,0.12227602513755219,0.09693996433582439,-0.07909785396806712,0.009717850509755587,-0.15615423317251767,0,2023-01-31,2026-08-31,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,,,,
market_relative_return,1,ENTG,ridge_full,calendar_year,2023,12,0.14557260191099897,0.11495882893913738,-0.10514500717896147,-0.03173715761870683,-0.10850785349539067,0,2023-01-31,2023-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,ridge_full,calendar_year,2024,12,0.08194200583666605,0.06803154561561581,-0.21602497662285192,0.034162037042317406,-0.25671746218018127,0,2024-01-31,2024-12-31,0.4166666666666667,0.25,0.25,0.0,,,,
market_relative_return,1,ENTG,ridge_full,calendar_year,2025,12,0.0992275087431341,0.08095163219257041,0.0,0.031877213133243314,-0.4039583458280333,0,2025-01-31,2025-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,ridge_full,calendar_year,2026,8,0.2235369162166754,0.18673889769638066,-0.0010351743848542316,-0.059948948621984625,-0.7269722614191988,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
market_relative_return,1,ENTG,zero,high_vol_regime,0,32,0.13305728197914676,0.09190059638006116,-0.010198185247739966,-0.02038419776715025,,0,2023-03-31,2026-08-31,0.0,0.40625,0.40625,32.0,,,,
market_relative_return,1,ENTG,zero,high_vol_regime,1,12,0.14225245434554565,0.11498508916524965,0.040337556908052186,0.020767292762230372,,0,2023-01-31,2026-07-31,0.0,0.4166666666666667,0.4166666666666667,12.0,,,,
