task,horizon,ticker,model,excluded_fallbacks,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
return,1,CRS,core_ridge,0,44,0.15286133301293978,0.12696357106897704,-0.10239359270607018,-0.01688514452223888,-0.16048629408400647,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_all_lag1,0,44,0.15461889194264367,0.1289364010542074,-0.12788938315846865,-0.012901862675897258,-0.14382127969814082,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_all_lag3,0,44,0.16167612736657216,0.13440448011166423,-0.23319907791377048,-0.015266889049462521,-0.22744142079444557,0,2023-01-31,2026-08-31,0.5681818181818182,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_lag1,0,44,0.1531177821657498,0.12739209062626033,-0.10609557594838814,-0.012698752965737203,-0.15091420262407254,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_lag3,0,44,0.1607831968904009,0.1336198046713285,-0.21961488061014434,-0.015452473347847802,-0.2543699957274727,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,elastic_full,0,44,0.15365696188659114,0.12771306180721698,-0.1138991678143082,-0.021500024813310283,-0.08070514378825162,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,financial_only,0,44,0.1612251161174065,0.12824115230489994,-0.22632841744810728,-0.020953954067869988,-0.18284742430971426,0,2023-01-31,2026-08-31,0.5227272727272727,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,financial_valuation,0,44,0.16334796642083857,0.1313227404254761,-0.25883514607696667,-0.03707089161188213,-0.20345195143998163,0,2023-01-31,2026-08-31,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,forest_full,0,44,0.14715404057330367,0.11856907149469187,-0.02161151270738504,-0.04797375775378943,0.08179958761747654,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,historical_mean,0,44,0.14558924782715335,0.11739468770284502,0.0,-0.04348086027332823,-0.1555934292323482,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,lasso_full,0,44,0.14913619141565262,0.12220438141059002,-0.04931889078017293,-0.0258117103843567,-0.04464176711210086,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
