task,horizon,ticker,model,regime,value,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
excess_return,1,ENTG,boost_full,rate_rising_regime,1,28,0.12284060040166572,0.0919990274121427,-0.0890857225481243,-1.2949193746150271e-07,-0.2369448019439254,0,2023-01-31,2026-08-31,0.5,0.42857142857142855,0.42857142857142855,0.0,,,,
excess_return,1,ENTG,boost_full,calendar_year,2023,12,0.14302011751410654,0.10208536869230278,-0.06672933439298734,-0.036055529318540426,-0.09038731784681747,0,2023-01-31,2023-12-31,0.5,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,boost_full,calendar_year,2024,12,0.07319430871234946,0.06182370756407949,0.02974935384093802,0.034776283820699076,-0.2342637234005306,0,2024-01-31,2024-12-31,0.5,0.25,0.25,0.0,,,,
excess_return,1,ENTG,boost_full,calendar_year,2025,12,0.10771852228486252,0.08919409449232231,-0.1784647546849183,0.021020638298122323,-0.5253843734422813,0,2025-01-31,2025-12-31,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,boost_full,calendar_year,2026,8,0.22970095572761354,0.18984769926102987,-0.057003515259206994,-0.05991792140051428,-0.4002259900141697,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
excess_return,1,ENTG,core_ridge,high_vol_regime,0,32,0.13831721116128765,0.0949319357062832,-0.09164577013200881,-0.022262865216630675,-0.07845566525556966,0,2023-03-31,2026-08-31,0.34375,0.40625,0.40625,0.0,,,,
excess_return,1,ENTG,core_ridge,high_vol_regime,1,12,0.13993724731272636,0.11971972566427326,0.0713210198262032,0.021161637342918902,0.20562834700770838,0,2023-01-31,2026-07-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,core_ridge,rate_rising_regime,0,16,0.1598179033368247,0.11520854950071675,0.040456871150900575,-0.022628677974229405,0.28358202976904706,0,2023-02-28,2026-01-31,0.375,0.375,0.375,0.0,,,,
excess_return,1,ENTG,core_ridge,rate_rising_regime,1,28,0.12514760306817407,0.09396863780574548,-0.13037690526063628,-0.00344332825819587,-0.2108451931123841,0,2023-01-31,2026-08-31,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.0,,,,
excess_return,1,ENTG,core_ridge,calendar_year,2023,12,0.13961979486594941,0.10941136702716547,-0.01660904211848413,-0.026450381739059937,-0.031287123510265205,0,2023-01-31,2023-12-31,0.25,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,core_ridge,calendar_year,2024,12,0.07422284962940585,0.0640893214517576,0.002289455666579787,0.04090342093662359,-0.3430542900892101,0,2024-01-31,2024-12-31,0.16666666666666666,0.25,0.25,0.0,,,,
